COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M47879,o-hydroxyatorvastatin lactone,Xenobiotics,Drug
M46111,O-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism
M45413,O-sulfo-L-tyrosine,Xenobiotics,Chemical
M36754,octadecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M33936,octanoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M52285,oleate/vaccenate (18:1),Lipid,Long Chain Fatty Acid
M38102,oleoyl ethanolamide,Lipid,Endocannabinoid
M35160,oleoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M53260,oleoylcholine,Lipid,Phospholipid Metabolism
M38600,omeprazole,Xenobiotics,Drug
M01493,ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M01505,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing"
M35172,orotidine,Nucleotide,"Pyrimidine Metabolism, Orotate containing"
M20694,oxalate (ethanedioate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
M52365,oxycodone,Xenobiotics,Drug
M36103,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M48841,p-cresol-glucuronide*,Amino Acid,Phenylalanine and Tyrosine Metabolism
M47881,p-hydroxyatorvastatin,Xenobiotics,Drug
M01336,palmitate (16:0),Lipid,Long Chain Fatty Acid
M33447,palmitoleate (16:1n7),Lipid,Long Chain Fatty Acid
M53257,palmitoloelycholine,Lipid,Phospholipid Metabolism
M52434,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Lipid,Sphingolipid Metabolism
M38165,palmitoyl ethanolamide,Lipid,Endocannabinoid
M37506,palmitoyl sphingomyelin (d18:1/16:0),Lipid,Sphingolipid Metabolism
M44681,palmitoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M52944,palmitoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline)
M01508,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism
M18254,paraxanthine,Xenobiotics,Xanthine Metabolism
M40461,paroxetine,Xenobiotics,Drug
M01361,pentadecanoate (15:0),Lipid,Long Chain Fatty Acid
M32553,phenol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M32396,phenolphthalein beta-D-glucuronide,Xenobiotics,Chemical
M15958,phenylacetate,Amino Acid,Phenylalanine and Tyrosine Metabolism
