COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M48762,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical
M52603,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phospholipid Metabolism
M19130,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phospholipid Metabolism
M19132,"1,2-distearoyl-GPC (18:0/18:0)",Lipid,Phospholipid Metabolism
M34404,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism
M32391,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism
M20675,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M34400,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism
M44621,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen
M52689,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen
M52673,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen
M52682,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen
M52677,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen
M52478,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen
M52477,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen
M52713,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,Plasmalogen
M52716,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen
M52474,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen
M39270,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen
M52475,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen
M52748,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen
M52614,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen
M39271,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen
M46325,1-arachidonoyl-GPA (20:4),Lipid,Lysolipid
M33228,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysolipid
M35186,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysolipid
M34214,1-arachidonoyl-GPI (20:4)*,Lipid,Lysolipid
M52401,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol
M48341,1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol
M49617,1-lignoceroyl-GPC (24:0),Lipid,Lysolipid
M45951,1-linolenoyl-GPC (18:3)*,Lipid,Lysolipid
M52710,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phospholipid Metabolism
M52690,1-linoleoyl-GPA (18:2)*,Lipid,Lysolipid
M34419,1-linoleoyl-GPC (18:2),Lipid,Lysolipid
M36600,1-linoleoyl-GPE (18:2)*,Lipid,Lysolipid
M36594,1-linoleoyl-GPI (18:2)*,Lipid,Lysolipid
M27447,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol
M48114,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism
M30460,1-methylhistidine,Amino Acid,Histidine Metabolism
M32350,1-methylimidazoleacetate,Amino Acid,Histidine Metabolism
M27665,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M34395,1-methylurate,Xenobiotics,Xanthine Metabolism
M34389,1-methylxanthine,Xenobiotics,Xanthine Metabolism
M46798,1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),Lipid,Diacylglycerol
M52453,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phospholipid Metabolism
M52687,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phospholipid Metabolism
M46799,1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),Lipid,Diacylglycerol
M48258,1-oleoyl-GPC (18:1),Lipid,Lysolipid
M35628,1-oleoyl-GPE (18:1),Lipid,Lysolipid
M36602,1-oleoyl-GPI (18:1)*,Lipid,Lysolipid
M21184,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol
M52683,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,Lipid,Phospholipid Metabolism
M52632,1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,Lipid,Diacylglycerol
M52631,1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,Lipid,Diacylglycerol
M33230,1-palmitoleoyl-GPC (16:1)*,Lipid,Lysolipid
M52431,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol
M52462,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),Lipid,Phospholipid Metabolism
M52464,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phospholipid Metabolism
M52684,1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*,Lipid,Phospholipid Metabolism
M52633,1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,Lipid,Diacylglycerol
M42446,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phospholipid Metabolism
M42449,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phospholipid Metabolism
M52461,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phospholipid Metabolism
M19263,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phospholipid Metabolism
M52470,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phospholipid Metabolism
M52616,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phospholipid Metabolism
M52634,1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,Lipid,Diacylglycerol
M34428,1-palmitoyl-GPA (16:0),Lipid,Lysolipid
M33955,1-palmitoyl-GPC (16:0),Lipid,Lysolipid
M35631,1-palmitoyl-GPE (16:0),Lipid,Lysolipid
M45970,1-palmitoyl-GPG (16:0)*,Lipid,Lysolipid
M35305,1-palmitoyl-GPI (16:0)*,Lipid,Lysolipid
M21127,1-palmitoylglycerol (16:0),Lipid,Monoacylglycerol
M42450,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phospholipid Metabolism
M52447,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phospholipid Metabolism
M52449,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phospholipid Metabolism
M52235,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS)
M52452,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phospholipid Metabolism
M52446,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phospholipid Metabolism
M52438,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phospholipid Metabolism
M42448,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phospholipid Metabolism
M33961,1-stearoyl-GPC (18:0),Lipid,Lysolipid
M42398,1-stearoyl-GPE (18:0),Lipid,Lysolipid
M19324,1-stearoyl-GPI (18:0),Lipid,Lysolipid
M33971,10-heptadecenoate (17:1n7),Lipid,Long Chain Fatty Acid
M33972,10-nonadecenoate (19:1n9),Lipid,Long Chain Fatty Acid
M32497,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid
M38395,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy"
M37752,13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy"
M38768,15-methylpalmitate,Lipid,"Fatty Acid, Branched"
M39609,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy"
M38168,16a-hydroxy DHEA 3-sulfate,Lipid,Steroid
M38296,17-methylstearate,Lipid,"Fatty Acid, Branched"
M37482,17alpha-hydroxypregnenolone sulfate,Lipid,Steroid
M01412,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M38276,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant
M15664,"2,3-diphosphoglycerate",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M48580,2-acetamidophenol sulfate,Xenobiotics,Drug
M06146,2-aminoadipate,Amino Acid,Lysine Metabolism
M42374,2-aminobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M43761,2-aminoheptanoate,Lipid,"Fatty Acid, Amino"
M43343,2-aminooctanoate,Lipid,"Fatty Acid, Amino"
M43266,2-aminophenol sulfate,Xenobiotics,Chemical
M36847,2-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism
M36746,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M33173,2-hydroxyacetaminophen sulfate*,Xenobiotics,Drug
M52281,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M42489,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy"
M37253,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate"
M18281,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism
M43330,2-hydroxyibuprofen,Xenobiotics,Drug
M22036,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy"
M35675,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy"
M01432,2-hydroxyphenylacetate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M17945,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy"
M15667,2-isopropylmalate,Xenobiotics,Food Component/Plant
M32506,2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol
M33161,2-methoxyacetaminophen glucuronide*,Xenobiotics,Drug
M47031,2-methoxyacetaminophen sulfate*,Xenobiotics,Drug
M48445,2-methoxyresorcinol sulfate,Xenobiotics,Chemical
M45095,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M31928,2-methylbutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M34383,2-myristoylglycerol (14:0),Lipid,Monoacylglycerol
M47118,2-palmitoleoyl-GPC (16:1)*,Lipid,Lysolipid
M52432,2-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol
M35253,2-palmitoyl-GPC (16:0)*,Lipid,Lysolipid
M33419,2-palmitoylglycerol (16:0),Lipid,Monoacylglycerol
M43400,2-piperidinone,Xenobiotics,Food Component/Plant
M41220,2-stearoyl-GPE (18:0)*,Lipid,Lysolipid
M46115,21-hydroxypregnenolone disulfate,Lipid,Steroid
M37174,21-hydroxypregnenolone monosulfate (1),Lipid,Steroid
M53026,"3,4-methyleneheptanoate",Xenobiotics,Food Component/Plant
M34399,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism
M35635,3-(3-hydroxyphenyl)propionate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M45415,3-(3-hydroxyphenyl)propionate sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M32197,3-(4-hydroxyphenyl)lactate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M39587,3-(4-hydroxyphenyl)propionate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M34365,3-(cystein-S-yl)acetaminophen*,Xenobiotics,Drug
M45721,3-(N-acetyl-L-cystein-S-yl) acetaminophen,Xenobiotics,Drug
M01566,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing"
M31787,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty Acid, Dicarboxylate"
M32397,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M00531,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism
M00542,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies
M43264,3-hydroxybutyrylcarnitine (1),Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M52984,3-hydroxybutyrylcarnitine (2),Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M43470,3-hydroxycotinine glucuronide,Xenobiotics,Tobacco Metabolite
M22053,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy"
M53230,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy"
M39600,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism
M01549,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M32457,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy"
M21158,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy"
M22001,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy"
M48448,3-hydroxypyridine sulfate,Xenobiotics,Chemical
M27672,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism
M48763,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism
M44618,3-methoxytyramine sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M12017,3-methoxytyrosine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M46165,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism
M44526,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M15676,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M36749,3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate"
M38667,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M46548,3-methylglutarylcarnitine (2),Amino Acid,Lysine Metabolism
M15677,3-methylhistidine,Amino Acid,Histidine Metabolism
M32445,3-methylxanthine,Xenobiotics,Xanthine Metabolism
M15749,3-phenylpropionate (hydrocinnamate),Amino Acid,Phenylalanine and Tyrosine Metabolism
M01414,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
M03155,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M43507,3b-hydroxy-5-cholenoic acid,Lipid,Secondary Bile Acid Metabolism
M01558,4-acetamidobutanoate,Amino Acid,Polyamine Metabolism
M12032,4-acetamidophenol,Xenobiotics,Drug
M15736,4-acetamidophenylglucuronide,Xenobiotics,Drug
M37475,4-acetaminophen sulfate,Xenobiotics,Drug
M44620,4-acetylphenol sulfate,Xenobiotics,Drug
M37181,4-allylphenol sulfate,Xenobiotics,Food Component/Plant
M38106,4-aminophenol,Xenobiotics,Drug
M37207,"4-androsten-3alpha,17alpha-diol monosulfate (2)",Lipid,Steroid
M37209,"4-androsten-3alpha,17alpha-diol monosulfate (3)",Lipid,Steroid
M37202,"4-androsten-3beta,17beta-diol disulfate (1)",Lipid,Steroid
M37203,"4-androsten-3beta,17beta-diol disulfate (2)",Lipid,Steroid
M37211,"4-androsten-3beta,17beta-diol monosulfate (1)",Lipid,Steroid
M37210,"4-androsten-3beta,17beta-diol monosulfate (2)",Lipid,Steroid
M36099,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism
M15681,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism
M48441,4-hydroxychlorothalonil,Xenobiotics,Chemical
M37445,4-hydroxycoumarin,Xenobiotics,Drug
M35527,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism
M52932,4-hydroxyphenylacetatoylcarnitine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M01669,4-hydroxyphenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism
M32349,4-imidazoleacetate,Amino Acid,Histidine Metabolism
M22116,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M46146,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism
M48442,4-vinylguaiacol sulfate,Xenobiotics,Food Component/Plant
M36098,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism
M01418,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing"
M34424,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism
M34401,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism
M53242,5-bromotryptophan,Amino Acid,Phenylalanine and Tyrosine Metabolism
M33968,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid
M31938,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy"
M00437,5-hydroxyindoleacetate,Amino Acid,Tryptophan Metabolism
M15685,5-hydroxylysine,Amino Acid,Lysine Metabolism
M01419,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism
M35136,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M01494,5-oxoproline,Amino Acid,Glutathione Metabolism
M47132,"5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate",Lipid,Steroid
M37182,"5alpha-androstan-3alpha,17alpha-diol disulfate",Lipid,Steroid
M37183,"5alpha-androstan-3alpha,17alpha-diol monosulfate",Lipid,Steroid
M37184,"5alpha-androstan-3alpha,17beta-diol disulfate",Lipid,Steroid
M37186,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Steroid
M37185,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Lipid,Steroid
M37187,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Steroid
M37190,"5alpha-androstan-3beta,17beta-diol disulfate",Lipid,Steroid
M37192,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",Lipid,Steroid
M46172,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Lipid,Steroid
M37198,"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Steroid
M37200,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid,Steroid
M37196,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Steroid
M48698,6-hydroxyindole sulfate,Xenobiotics,Chemical
M43231,6-oxopiperidine-2-carboxylic acid,Amino Acid,Lysine Metabolism
M36776,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid,Sterol
M43830,7-ketolithocholate,Lipid,Secondary Bile Acid Metabolism
M35114,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing"
M39598,7-methylurate,Xenobiotics,Xanthine Metabolism
M34390,7-methylxanthine,Xenobiotics,Xanthine Metabolism
M38399,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy"
M48569,acesulfame,Xenobiotics,Food Component/Plant
M33963,acetoacetate,Lipid,Ketone Bodies
M32198,acetylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M43258,acisoga,Amino Acid,Polyamine Metabolism
M46173,aconitate [cis or trans],Energy,TCA Cycle
M00554,adenine,Nucleotide,"Purine Metabolism, Adenine containing"
M00555,adenosine,Nucleotide,"Purine Metabolism, Adenine containing"
M02831,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing"
M03108,adenosine 5'-diphosphate (ADP),Nucleotide,"Purine Metabolism, Adenine containing"
M00558,adenosine 5'-diphosphoribose (ADP-ribose),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
M32342,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing"
M21134,adipate,Lipid,"Fatty Acid, Dicarboxylate"
M52988,adipoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M32980,adrenate (22:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M01126,alanine,Amino Acid,Alanine and Aspartate Metabolism
M01107,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
M41494,alliin,Xenobiotics,Food Component/Plant
M48188,alpha-CEHC,Cofactors and Vitamins,Tocopherol Metabolism
M39346,alpha-CEHC glucuronide*,Cofactors and Vitamins,Tocopherol Metabolism
M47666,alpha-CEHC sulfate,Cofactors and Vitamins,Tocopherol Metabolism
M37073,alpha-hydroxycaproate,Lipid,"Fatty Acid, Monohydroxy"
M22132,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M33937,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M04968,alpha-ketobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M00528,alpha-ketoglutarate,Energy,TCA Cycle
M01561,alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism
M32827,andro steroid monosulfate (1)*,Lipid,Steroid
M31591,androsterone sulfate,Lipid,Steroid
M15747,anserine,Peptide,Dipeptide Derivative
M04970,anthranilate,Amino Acid,Tryptophan Metabolism
M00575,arabinose,Carbohydrate,Pentose Metabolism
M48885,arabitol/xylitol,Carbohydrate,Pentose Metabolism
M48255,arabonate/xylonate,Carbohydrate,Pentose Metabolism
M01118,arachidate (20:0),Lipid,Long Chain Fatty Acid
M01110,arachidonate (20:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M32463,arachidonoyl ethanolamide,Lipid,Endocannabinoid
M53261,arachidonoylcholine,Lipid,Phospholipid Metabolism
M01638,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M52960,aripiprazole,Xenobiotics,Drug
M00512,asparagine,Amino Acid,Alanine and Aspartate Metabolism
M00443,aspartate,Amino Acid,Alanine and Aspartate Metabolism
M38658,atenolol,Xenobiotics,Drug
M38619,atorvastatin (lipitor),Xenobiotics,Drug
M47878,atorvastatin lactone,Xenobiotics,Drug
M18362,azelate (nonanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M48492,behenoyl sphingomyelin (d18:1/22:0)*,Lipid,Sphingolipid Metabolism
M37034,bendazac,Xenobiotics,Drug
M15778,benzoate,Xenobiotics,Benzoate Metabolism
M00055,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
M12129,beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M03141,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M38100,betonicine,Xenobiotics,Food Component/Plant
M32586,"bilirubin (E,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M47886,"bilirubin (E,Z or Z,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M43807,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M02137,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism
M22154,bradykinin,Peptide,Polypeptide
M34420,"bradykinin, des-arg(9)",Peptide,Polypeptide
M33962,"bradykinin, hydroxy-pro(3)",Peptide,Polypeptide
M32412,butyrylcarnitine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M31850,butyrylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
M48782,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism
M00569,caffeine,Xenobiotics,Xanthine Metabolism
M33997,campesterol,Lipid,Sterol
M01642,caprate (10:0),Lipid,Medium Chain Fatty Acid
M32489,caproate (6:0),Lipid,Medium Chain Fatty Acid
M32492,caprylate (8:0),Lipid,Medium Chain Fatty Acid
M37033,carbamazepine,Xenobiotics,Drug
M37020,"carbamazepine 10,11-epoxide*",Xenobiotics,Drug
M37056,carbamazepine glucuronide*,Xenobiotics,Drug
M40007,carboxyethyl-GABA,Amino Acid,Glutamate Metabolism
M43333,carboxyibuprofen,Xenobiotics,Drug
M15500,carnitine,Lipid,Carnitine Metabolism
M35320,catechol sulfate,Xenobiotics,Benzoate Metabolism
M38599,celecoxib,Xenobiotics,Drug
M01563,chenodeoxycholate,Lipid,Primary Bile Acid Metabolism
M37112,chiro-inositol,Lipid,Inositol Metabolism
M22842,cholate,Lipid,Primary Bile Acid Metabolism
M00063,cholesterol,Lipid,Sterol
M15506,choline,Lipid,Phospholipid Metabolism
M34396,choline phosphate,Lipid,Phospholipid Metabolism
M38637,cinnamoylglycine,Xenobiotics,Food Component/Plant
M38178,cis-4-decenoyl carnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M01564,citrate,Energy,TCA Cycle
M02132,citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M05983,corticosterone,Lipid,Steroid
M01712,cortisol,Lipid,Steroid
M01769,cortisone,Lipid,Steroid
M00553,cotinine,Xenobiotics,Tobacco Metabolite
M38662,cotinine N-oxide,Xenobiotics,Tobacco Metabolite
M27718,creatine,Amino Acid,Creatine Metabolism
M00513,creatinine,Amino Acid,Creatine Metabolism
M18368,"cys-gly, oxidized",Amino Acid,Glutathione Metabolism
M15705,cystathionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M01868,cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M22176,cysteine s-sulfate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M37443,cysteine sulfinic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M35159,cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism
M35637,cysteinylglycine,Amino Acid,Glutathione Metabolism
M00056,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M00514,cytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
M02372,cytidine 5'-monophosphate (5'-CMP),Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
M33941,decanoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M32425,dehydroisoandrosterone sulfate (DHEA-S),Lipid,Steroid
M36747,deoxycarnitine,Lipid,Carnitine Metabolism
M01114,deoxycholate,Lipid,Secondary Bile Acid Metabolism
M52931,diclofenac,Xenobiotics,Drug
M17805,dihomo-linoleate (20:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M35718,dihomo-linolenate (20:3n3 or n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M53262,dihomo-linolenoyl-choline,Lipid,Phospholipid Metabolism
M40481,dihydroferulic acid,Xenobiotics,Food Component/Plant
M00601,dihydroorotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing"
M43424,dimethyl sulfone,Xenobiotics,Chemical
M36808,dimethylarginine (SDMA + ADMA),Amino Acid,Urea cycle; Arginine and Proline Metabolism
M05086,dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M38669,diphenhydramine,Xenobiotics,Drug
M32415,docosadienoate (22:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M39837,docosadioate,Lipid,"Fatty Acid, Dicarboxylate"
M44675,docosahexaenoate (DHA; 22:6n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M53263,docosahexaenoylcholine,Lipid,Phospholipid Metabolism
M32504,docosapentaenoate (n3 DPA; 22:5n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M37478,docosapentaenoate (n6 DPA; 22:5n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M32417,docosatrienoate (22:3n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M32388,dodecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M48406,dopamine sulfate (1),Amino Acid,Phenylalanine and Tyrosine Metabolism
M48407,dopamine sulfate (2),Amino Acid,Phenylalanine and Tyrosine Metabolism
M31548,DSGEGDFXAEGGGVR*,Peptide,Fibrinogen Cleavage Peptide
